,date,open,high,low,close,volume,daily return,cumulative return
22,2019-06-03,60.2,60.5,57.0,59.65,49920936,-0.014863748967795187,0.3556818181818189
23,2019-06-10,59.75,62.7,59.2,61.0,90942188,0.022632020117351326,0.38636363636363713
24,2019-06-17,60.2,65.2,60.0,64.3,249816215,0.0540983606557377,0.4613636363636371
25,2019-06-24,63.65,69.35,62.75,68.5,104983924,0.0653188180404356,0.5568181818181828
26,2019-07-01,68.5,70.5,67.9,69.1,73734953,0.008759124087591053,0.5704545454545462
27,2019-07-08,69.0,69.1,64.95,65.0,59607853,-0.05933429811866853,0.4772727272727282
28,2019-07-15,64.5,68.0,62.9,67.25,52831259,0.034615384615384714,0.5284090909090919
29,2019-07-22,66.65,67.0,64.05,64.8,38362056,-0.03643122676579935,0.47272727272727355
30,2019-07-29,64.0,66.8,63.35,63.9,63187064,-0.01388888888888884,0.45227272727272805
31,2019-08-05,63.5,64.5,59.15,63.5,76715722,-0.006259780907668211,0.443181818181819
32,2019-08-12,63.45,67.0,62.05,66.15,71947369,0.04173228346456703,0.503409090909092
33,2019-08-19,66.8,70.25,66.6,70.0,108709846,0.05820105820105814,0.5909090909090919
34,2019-08-26,74.0,77.0,72.55,74.35,165415110,0.062142857142857055,0.6897727272727283
35,2019-09-02,73.75,75.0,72.7,73.75,73529263,-0.008069939475453869,0.6761363636363649
36,2019-09-09,73.8,75.15,69.85,73.6,99085734,-0.0020338983050848247,0.6727272727272737
37,2019-09-16,73.25,77.7,71.15,77.5,109500712,0.052989130434782705,0.7613636363636376
38,2019-09-23,76.95,81.4,75.4,81.0,136048306,0.04516129032258065,0.8409090909090922
39,2019-09-30,80.15,85.05,78.8,84.7,91404673,0.04567901234567895,0.9250000000000012
40,2019-10-07,85.25,93.65,84.9,88.45,129386791,0.04427390791027164,1.010227272727274
41,2019-10-14,87.5,93.45,85.9,92.75,93811307,0.04861503674392309,1.1079545454545467
42,2019-10-21,93.55,97.4,87.55,90.55,123087567,-0.023719676549865287,1.0579545454545465
43,2019-10-28,92.8,97.15,90.6,93.8,118813530,0.03589177250138054,1.1318181818181832
44,2019-11-04,94.8,100.0,93.2,94.6,132815949,0.008528784648187626,1.1500000000000012
45,2019-11-11,93.75,97.2,91.0,96.85,87759494,0.02378435517970412,1.201136363636365
46,2019-11-18,96.1,103.5,90.8,98.05,150283010,0.0123902942694889,1.2284090909090923
47,2019-11-25,100.0,106.9,97.65,103.2,146873502,0.0525242223355431,1.345454545454547
48,2019-12-02,104.0,107.4,100.0,103.6,81611478,0.003875968992248069,1.3545454545454563
49,2019-12-09,103.6,104.8,98.7,101.1,81900699,-0.02413127413127414,1.2977272727272746
50,2019-12-16,101.3,105.5,100.0,102.0,79044736,0.008902077151335286,1.3181818181818201
51,2019-12-23,101.4,103.7,100.2,102.7,39533589,0.006862745098039191,1.3340909090909108
52,2019-12-30,102.4,106.5,100.6,104.2,47444233,0.014605647517039966,1.36818181818182
53,2020-01-06,104.1,112.4,103.2,109.6,121018285,0.051823416506717734,1.4909090909090925
54,2020-01-13,109.2,116.0,108.5,111.9,111620391,0.02098540145985406,1.5431818181818198
55,2020-01-20,111.8,112.7,98.65,102.3,140872141,-0.08579088471849872,1.3250000000000015
56,2020-01-27,100.0,105.7,96.3,99.3,99694658,-0.029325513196480912,1.2568181818181832
57,2020-02-03,96.9,103.9,94.85,101.9,175695070,0.02618328298086614,1.3159090909090922
58,2020-02-10,99.9,104.7,95.55,100.9,199416023,-0.00981354268891066,1.2931818181818198
59,2020-02-17,100.9,104.5,99.7,103.2,126339962,0.02279484638255691,1.345454545454547
60,2020-02-24,101.5,103.9,98.4,98.9,133090385,-0.04166666666666663,1.2477272727272744
61,2020-03-02,98.0,103.8,96.6,100.7,130067351,0.018200202224469164,1.2886363636363654
62,2020-03-09,96.0,100.3,81.85,89.0,211489889,-0.11618669314796426,1.0227272727272743
63,2020-03-16,87.0,89.0,70.1,84.0,283156167,-0.0561797752808989,0.9090909090909105
64,2020-03-23,79.0,92.8,78.85,89.3,150504515,0.0630952380952381,1.029545454545456
65,2020-03-30,88.2,96.9,85.3,92.85,130713295,0.039753639417693165,1.1102272727272742
66,2020-04-06,94.2,98.5,92.3,97.25,83483327,0.047388260635433666,1.2102272727272747
67,2020-04-13,96.0,102.2,94.3,100.0,94910380,0.028277634961439535,1.2727272727272747
68,2020-04-20,100.8,102.0,96.85,99.2,72904198,-0.008000000000000007,1.2545454545454566
69,2020-04-27,100.1,104.8,99.5,103.8,55234498,0.0463709677419355,1.3590909090909111
70,2020-05-04,101.8,111.6,99.8,111.6,101018417,0.07514450867052025,1.5363636363636384
71,2020-05-11,113.5,123.0,107.0,119.4,164192887,0.06989247311827973,1.713636363636366
72,2020-05-18,120.5,131.4,118.0,118.5,139844774,-0.007537688442211143,1.6931818181818206
73,2020-05-25,116.9,146.7,116.1,146.7,326063173,0.23797468354430373,2.3340909090909117
74,2020-06-01,145.0,165.9,144.0,159.0,314289673,0.08384458077709622,2.613636363636367
75,2020-06-08,159.4,170.1,149.4,165.6,156391598,0.04150943396226414,2.7636363636363668
76,2020-06-15,164.0,175.9,155.2,174.0,142904368,0.050724637681159424,2.9545454545454577
77,2020-06-22,174.1,180.0,169.1,174.7,75982340,0.004022988505747005,2.9704545454545483
78,2020-06-29,176.0,193.1,166.9,191.7,94238130,0.0973096737263881,3.356818181818185
79,2020-07-06,192.0,213.4,180.7,208.2,147686498,0.0860719874804381,3.731818181818185
80,2020-07-13,205.0,212.0,183.3,191.1,145412922,-0.08213256484149856,3.3431818181818214
81,2020-07-20,192.3,205.8,184.0,190.7,141431531,-0.002093144950287784,3.3340909090909125
82,2020-07-27,192.7,201.0,182.1,191.9,87484134,0.0062926061877295325,3.3613636363636408
83,2020-08-03,200.0,229.2,195.4,222.4,159476929,0.15893694632621158,4.05454545454546
84,2020-08-10,220.8,228.8,202.6,219.8,110803485,-0.011690647482014316,3.9954545454545514
85,2020-08-17,209.2,247.4,209.0,245.2,94099714,0.11555959963603257,4.5727272727272785
86,2020-08-24,244.2,274.4,236.2,265.2,149189804,0.08156606851549753,5.0272727272727336
87,2020-08-31,272.8,280.0,244.2,261.8,137469289,-0.012820512820512775,4.950000000000006
88,2020-09-07,264.0,265.0,227.2,242.8,139046878,-0.07257448433919023,4.518181818181824
89,2020-09-14,248.0,252.6,233.6,241.6,83020625,-0.0049423393739703725,4.4909090909090965
90,2020-09-21,245.0,251.0,230.8,232.0,76379490,-0.039735099337748325,4.272727272727278
91,2020-09-28,236.0,244.4,233.6,241.8,34039285,0.042241379310344884,4.495454545454551
92,2020-10-05,248.8,278.6,242.0,270.0,86946639,0.11662531017369715,5.136363636363642
93,2020-10-12,274.0,283.6,263.8,265.8,67790420,-0.015555555555555545,5.040909090909096
94,2020-10-19,269.8,270.8,255.2,262.4,73452638,-0.012791572610985846,4.963636363636368
95,2020-10-26,258.0,300.4,257.0,288.2,93687085,0.09832317073170738,5.550000000000005
96,2020-11-02,291.0,334.6,287.4,326.8,105599542,0.13393476752255395,6.427272727272734
97,2020-11-09,333.8,338.2,270.0,305.8,219039462,-0.06425948592411257,5.950000000000006
98,2020-11-16,321.0,321.0,287.8,304.2,115555397,-0.005232177894048506,5.913636363636369
99,2020-11-23,308.0,316.6,293.0,312.0,85995839,0.025641025641025772,6.090909090909098
100,2020-11-30,310.0,310.2,267.2,288.6,198978685,-0.07499999999999996,5.559090909090916
101,2020-12-07,290.8,295.6,278.0,293.8,97603293,0.018018018018018056,5.677272727272734
102,2020-12-14,281.0,287.0,271.0,278.4,108800890,-0.05241660993873398,5.3272727272727325
103,2020-12-21,278.4,290.8,274.0,279.2,73318355,0.00287356321839094,5.345454545454552
104,2020-12-28,273.0,296.6,258.2,294.6,106895662,0.055157593123209336,5.695454545454553
105,2021-01-04,293.4,318.0,286.4,318.0,102442436,0.0794297352342157,6.227272727272735
106,2021-01-11,320.4,321.6,293.0,307.6,100930016,-0.03270440251572315,5.990909090909099
107,2021-01-18,307.6,387.6,305.0,380.2,140552377,0.2360208062418725,7.640909090909101
108,2021-01-25,384.6,407.6,352.4,355.8,145338957,-0.06417674907943183,7.086363636363647
109,2021-02-01,369.0,415.6,364.0,401.4,118943964,0.12816188870151768,8.122727272727284
110,2021-02-08,411.6,445.0,403.0,445.0,55046373,0.1086198305929249,9.113636363636378
111,2021-02-15,455.0,460.0,411.0,423.6,84763803,-0.048089887640449414,8.627272727272741
112,2021-02-22,435.8,435.8,340.0,340.0,168754395,-0.19735599622285183,6.727272727272737
113,2021-03-01,355.0,388.0,321.4,337.0,152115206,-0.008823529411764675,6.659090909090919
114,2021-03-08,343.2,355.2,289.2,333.0,202063607,-0.011869436201780381,6.568181818181828
115,2021-03-15,335.4,345.0,312.2,333.0,93315097,0.0,6.568181818181828
116,2021-03-22,326.0,335.8,274.6,302.0,137012897,-0.0930930930930931,5.863636363636372
117,2021-03-29,295.0,328.0,274.4,325.8,124068954,0.07880794701986749,6.404545454545463
118,2021-04-05,335.0,335.0,309.8,314.0,50098572,-0.03621853898096994,6.136363636363645
119,2021-04-12,314.0,314.6,274.2,290.2,127767590,-0.07579617834394903,5.595454545454554
120,2021-04-19,290.2,311.4,280.6,306.4,350569336,0.0558235699517573,5.963636363636372
